n,fib2,fib3,fib4,fib5
5,0.0009438991546630859,0.0009756088256835938,0.0009770393371582031,0.0009739398956298828
10,0.0019528865814208984,0.0009446144104003906,0.0009763240814208984,0.0009512901306152344
20,0.0029370784759521484,0.0009744167327880859,0.0009717941284179688,0.0009760856628417969
30,0.2635231018066406,0.0009796619415283203,0.0009496212005615234,0.0009424686431884766
40,39.72690987586975,0.0009770393371582031,0.0009777545928955078,0.0009722709655761719
